month,airport,total_flights,cancelled_flights,more_than_15_minutes_early,15_to_1_minute_early,0_to_15_minutes_late,16_to_30_minutes_late,31_to_60_minutes_late,61_to_120_minutes_late,121_to_180_minutes_late,181_to_360_minutes_late,more_than_360_minutes_late,average_delay_minutes
JAN,ABERDEEN,18,0,16.666667,33.333333,33.333333,5.555556,5.555556,0,5.555556,0,0,13.94
JAN,BELFAST CITY (GEORGE BEST),3,0,0,66.666667,0,0,0,33.333333,0,0,0,22.67
JAN,BELFAST INTERNATIONAL,32,0,6.25,25,37.5,9.375,3.125,15.625,3.125,0,0,22.78
JAN,BIRMINGHAM,224,0,9.375,21.875,28.571429,16.964286,18.75,2.678571,1.339286,0,0.446429,24.66
JAN,BOURNEMOUTH,48,0,6.25,33.333333,37.5,14.583333,2.083333,2.083333,4.166667,0,0,14.27
JAN,BRISTOL,113,0,8.849558,26.548673,36.283186,11.504425,8.849558,5.309735,1.769912,0,0.884956,22.48
JAN,CARDIFF WALES,80,0,8.536585,39.02439,28.04878,6.097561,8.536585,4.878049,2.439024,0,0,14.91
JAN,DONCASTER SHEFFIELD,86,0,13.953488,55.813953,20.930233,5.813953,3.488372,0,0,0,0,3.45
JAN,EAST MIDLANDS INTERNATIONAL,62,0,17.741935,38.709677,30.645161,4.83871,1.612903,3.225806,1.612903,1.612903,0,12.24
JAN,EDINBURGH,39,0,12.820513,28.205128,33.333333,15.384615,5.128205,2.564103,0,2.564103,0,17.74
JAN,EXETER,50,0,11.764706,50.980392,27.45098,5.882353,0,1.960784,0,0,0,4.54
JAN,GATWICK,515,13,6.439394,20.643939,37.5,14.204545,11.174242,4.924242,1.515152,0.94697,0.189394,21.75
JAN,GLASGOW,73,0,10.958904,27.39726,42.465753,8.219178,2.739726,6.849315,0,1.369863,0,16.19
JAN,HEATHROW,27,2,3.448276,27.586207,41.37931,6.896552,10.344828,3.448276,0,0,0,13.93
JAN,ISLE OF MAN,2,0,0,0,50,0,50,0,0,0,0,16
JAN,JERSEY,25,0,16,28,32,8,4,12,0,0,0,17.44
JAN,LIVERPOOL (JOHN LENNON),16,0,0,37.5,37.5,12.5,12.5,0,0,0,0,10
JAN,LUTON,18,0,11.111111,33.333333,33.333333,16.666667,0,0,0,5.555556,0,18.39
JAN,MANCHESTER,457,0,4.595186,13.56674,33.698031,17.50547,18.380744,8.971554,2.188184,0.875274,0.218818,30.48
JAN,NEWCASTLE,5,0,0,20,40,20,20,0,0,0,0,15
JAN,SOUTHAMPTON,4,0,0,25,50,25,0,0,0,0,0,7.75
JAN,STANSTED,55,0,0,23.636364,38.181818,16.363636,10.909091,7.272727,1.818182,1.818182,0,23.98
JAN,TEESSIDE INTERNATIONAL AIRPORT,0,0,0,0,0,0,0,0,0,0,0,0
FEB,ABERDEEN,18,0,5.263158,21.052632,31.578947,10.526316,10.526316,15.789474,0,0,0,25.89
FEB,BELFAST INTERNATIONAL,18,0,11.111111,27.777778,50,0,11.111111,0,0,0,0,8.5
FEB,BIRMINGHAM,214,0,4.672897,15.420561,18.691589,17.28972,28.037383,9.813084,4.205607,1.401869,0.46729,43.56
FEB,BOURNEMOUTH,49,0,10.204082,34.693878,40.816327,6.122449,4.081633,4.081633,0,0,0,7.94
FEB,BRISTOL,127,0,6.299213,14.173228,37.007874,14.96063,11.811024,6.299213,3.149606,5.511811,0.787402,39.44
FEB,CARDIFF WALES,61,0,9.677419,37.096774,37.096774,4.83871,1.612903,3.225806,0,3.225806,1.612903,22.97
FEB,DONCASTER SHEFFIELD,97,0,4.123711,28.865979,28.865979,16.494845,14.43299,4.123711,1.030928,1.030928,1.030928,21.89
FEB,EAST MIDLANDS INTERNATIONAL,53,0,5.660377,30.188679,43.396226,5.660377,11.320755,1.886792,1.886792,0,0,12.68
FEB,EDINBURGH,111,1,2.678571,9.821429,22.321429,21.428571,33.035714,8.928571,0.892857,0,0,28.99
FEB,EXETER,48,0,12.5,45.833333,25,6.25,8.333333,2.083333,0,0,0,7.96
FEB,GATWICK,527,28,6.126126,16.576577,36.396396,16.756757,12.252252,4.144144,2.342342,0.36036,0,20.52
FEB,GLASGOW,71,0,4.225352,15.492958,28.169014,15.492958,15.492958,12.676056,7.042254,1.408451,0,37.24
FEB,HEATHROW,47,4,5.882353,23.529412,27.45098,9.803922,17.647059,1.960784,0,3.921569,1.960784,33.02
FEB,JERSEY,18,0,5.555556,5.555556,44.444444,33.333333,11.111111,0,0,0,0,16.72
FEB,LEEDS BRADFORD,2,0,0,100,0,0,0,0,0,0,0,0
FEB,LIVERPOOL (JOHN LENNON),26,0,11.538462,19.230769,19.230769,26.923077,15.384615,0,7.692308,0,0,25.85
FEB,LUTON,17,0,0,17.647059,58.823529,5.882353,17.647059,0,0,0,0,12.41
FEB,MANCHESTER,455,0,2.417582,7.912088,23.736264,18.021978,21.098901,20.879121,5.494505,0.43956,0,42.79
FEB,NEWCASTLE,13,0,15.384615,15.384615,15.384615,15.384615,23.076923,15.384615,0,0,0,25.23
FEB,SOUTHAMPTON,5,0,0,40,20,0,40,0,0,0,0,16.4
FEB,STANSTED,75,1,1.315789,13.157895,44.736842,18.421053,9.210526,6.578947,5.263158,0,0,25.04
FEB,TEESSIDE INTERNATIONAL AIRPORT,3,0,0,0,33.333333,33.333333,33.333333,0,0,0,0,22.33
MAR,ABERDEEN,18,0,22.222222,16.666667,33.333333,11.111111,5.555556,0,11.111111,0,0,24.89
MAR,BELFAST CITY (GEORGE BEST),10,0,20,30,30,10,10,0,0,0,0,8.8
MAR,BELFAST INTERNATIONAL,16,0,18.75,31.25,43.75,0,0,6.25,0,0,0,6.5
MAR,BIRMINGHAM,257,0,5.836576,17.509728,33.463035,13.618677,14.007782,10.505837,3.891051,0.77821,0.389105,29.28
MAR,BOURNEMOUTH,47,0,6.382979,21.276596,53.191489,8.510638,4.255319,6.382979,0,0,0,10.81
MAR,BRISTOL,136,0,7.352941,19.852941,41.176471,11.764706,8.088235,8.088235,3.676471,0,0,20.51
MAR,CARDIFF WALES,150,0,2.649007,20.529801,50.331126,13.245033,10.596026,0.662252,0,1.324503,0,13.65
MAR,DONCASTER SHEFFIELD,141,0,14.184397,44.680851,31.205674,4.255319,4.964539,0.70922,0,0,0,4.72
MAR,EAST MIDLANDS INTERNATIONAL,72,0,6.944444,37.5,33.333333,11.111111,8.333333,2.777778,0,0,0,9.61
MAR,EDINBURGH,58,2,6.666667,16.666667,35,13.333333,13.333333,6.666667,5,0,0,25.16
MAR,EXETER,49,0,8.163265,55.102041,22.44898,8.163265,4.081633,2.040816,0,0,0,5.14
MAR,GATWICK,601,10,8.674304,20.621931,37.479542,14.893617,11.947627,3.600655,0.981997,0.163666,0,15.95
MAR,GLASGOW,101,0,3.960396,16.831683,40.594059,18.811881,11.881188,7.920792,0,0,0,18.31
MAR,HEATHROW,49,2,7.843137,9.803922,35.294118,13.72549,13.72549,15.686275,0,0,0,25.06
MAR,JERSEY,17,0,17.647059,35.294118,17.647059,11.764706,17.647059,0,0,0,0,12
MAR,LIVERPOOL (JOHN LENNON),34,0,5.882353,26.470588,26.470588,23.529412,14.705882,2.941176,0,0,0,15.24
MAR,LONDON CITY,1,0,0,0,0,0,100,0,0,0,0,35
