month,airport,total_flights,cancelled_flights,more_than_15_minutes_early,15_to_1_minute_early,0_to_15_minutes_late,16_to_30_minutes_late,31_to_60_minutes_late,61_to_120_minutes_late,121_to_180_minutes_late,181_to_360_minutes_late,more_than_360_minutes_late,average_delay_minutes
JAN,ABERDEEN,1362,55,8.398024,45.659845,26.746648,7.762879,4.093155,2.399435,0.988003,0.070572,0,8.79
JAN,BELFAST CITY (GEORGE BEST),1029,22,26.641294,54.7098,11.988582,2.378687,1.52236,0.38059,0.190295,0.095147,0,2.69
JAN,BELFAST INTERNATIONAL,1924,0,11.798337,65.384615,15.852391,3.170478,2.754678,0.831601,0.155925,0.051975,0,3.75
JAN,BIRMINGHAM,2527,55,14.717273,40.472502,28.001549,6.816421,5.189775,2.32378,0.271108,0.077459,0,7.82
JAN,BOURNEMOUTH,166,0,7.831325,40.963855,41.566265,6.626506,2.409639,0.60241,0,0,0,4.89
JAN,BRISTOL,2103,22,12.705882,54.870588,20.658824,5.270588,2.917647,1.694118,0.423529,0.329412,0.094118,6.75
JAN,CARDIFF WALES,123,0,12.903226,52.419355,24.193548,4.032258,4.032258,1.612903,0,0,0,5.03
JAN,DONCASTER SHEFFIELD,143,0,4.895105,21.678322,31.468531,18.181818,18.181818,3.496503,2.097902,0,0,20.15
JAN,EAST MIDLANDS INTERNATIONAL,550,6,16.726619,48.021583,21.76259,7.014388,3.776978,0.719424,0.899281,0,0,6.44
JAN,EDINBURGH,3641,51,14.897075,49.674973,21.451788,6.771398,3.791983,1.35428,0.406284,0.189599,0.081257,6.89
JAN,EXETER,202,0,24.257426,51.980198,14.356436,2.970297,1.485149,4.950495,0,0,0,6.34
JAN,GATWICK,6437,29,15.527374,50.695948,20.924838,5.907826,3.495206,2.10331,0.541293,0.340241,0.015466,7.37
JAN,GLASGOW,2737,78,12.575488,54.564831,19.218472,4.511545,3.019538,2.380107,0.497336,0.461812,0,7.05
JAN,HEATHROW,20538,258,16.902289,36.598384,26.21658,8.996922,6.179073,2.673591,0.610694,0.442393,0.13945,11.61
JAN,ISLE OF MAN,428,2,15.348837,52.325581,21.860465,4.418605,3.72093,1.627907,0.232558,0,0,4.92
JAN,JERSEY,813,20,18.127251,48.739496,21.968788,2.641056,2.641056,2.160864,0.480192,0.840336,0,7.59
JAN,LEEDS BRADFORD,750,15,16.20915,45.751634,25.620915,3.921569,3.398693,1.176471,0.915033,1.045752,0,8.22
JAN,LIVERPOOL (JOHN LENNON),1185,2,8.4246,63.774221,17.523168,4.970514,3.201348,1.516428,0.336984,0.084246,0,5.25
JAN,LONDON CITY,1366,59,20.350877,44.842105,23.859649,3.859649,2.315789,0.421053,0.210526,0,0,3.75
JAN,LUTON,3865,16,8.271064,46.585931,26.745684,10.255089,5.436743,1.674826,0.412265,0.154599,0.051533,8.72
JAN,MANCHESTER,6271,126,11.692981,42.238549,27.481632,8.097546,5.596373,2.188526,0.515867,0.171956,0.046897,9.2
JAN,NEWCASTLE,1253,27,9.609375,51.484375,26.171875,5,3.046875,1.71875,0.546875,0.234375,0.078125,6.57
JAN,SOUTHAMPTON,848,66,15.754923,46.827133,19.037199,3.938731,3.282276,2.297593,0.984683,0.656455,0,8.36
JAN,SOUTHEND,0,0,0,0,0,0,0,0,0,0,0,0
JAN,STANSTED,6397,26,8.749805,50.272458,26.576366,7.768955,4.110229,1.432352,0.389226,0.249105,0.046707,7.7
JAN,TEESSIDE INTERNATIONAL AIRPORT,176,0,11.931818,59.659091,21.022727,6.25,0,1.136364,0,0,0,2.89
FEB,ABERDEEN,1448,97,4.012945,35.598706,28.996764,10.550162,6.213592,4.983819,1.747573,1.553398,0.064725,19.1
FEB,BELFAST CITY (GEORGE BEST),1062,55,15.756491,50.223814,18.263205,3.849597,3.581021,1.880036,1.432408,0,0.089526,7.81
FEB,BELFAST INTERNATIONAL,2192,0,4.516423,48.129562,26.186131,9.169708,6.20438,4.425182,0.729927,0.593066,0.04562,12.66
FEB,BIRMINGHAM,2969,43,10.756972,30.079681,31.606906,11.88579,8.632138,3.552457,0.996016,0.896414,0.166003,16.43
FEB,BOURNEMOUTH,241,0,5.809129,33.609959,37.759336,9.958506,7.053942,4.564315,0.829876,0.414938,0,13.65
FEB,BRISTOL,2740,51,4.120387,39.340738,31.279111,9.100681,7.452526,4.442852,0.752418,1.361519,0.322465,18.11
FEB,CARDIFF WALES,136,0,2.941176,44.117647,36.029412,7.352941,3.676471,3.676471,0,2.205882,0,14.4
FEB,DONCASTER SHEFFIELD,91,0,2.197802,19.78022,31.868132,17.582418,26.373626,2.197802,0,0,0,19.42
FEB,EAST MIDLANDS INTERNATIONAL,753,3,11.640212,42.989418,29.62963,9.52381,3.703704,0.793651,0.793651,0.529101,0,8.27
FEB,EDINBURGH,4315,117,6.836643,40.162455,27.775271,10.424188,7.400722,3.519856,0.92509,0.315884,0,12.5
FEB,EXETER,184,0,12.5,49.456522,22.282609,6.521739,4.347826,2.717391,2.173913,0,0,9.68
FEB,GATWICK,7939,89,9.965122,39.524165,30.19432,8.881415,5.430992,2.989537,0.971599,0.772297,0.161933,12.79
FEB,GLASGOW,2848,139,6.260462,39.738868,27.987948,8.771342,6.09307,4.184801,1.606964,0.63609,0.066957,14.38
FEB,HEATHROW,18873,865,13.739994,30.109434,27.292532,9.854089,7.331037,4.25575,1.682035,0.982876,0.369845,19.46
FEB,ISLE OF MAN,437,27,4.956897,40.517241,29.741379,7.327586,4.094828,2.801724,2.37069,1.508621,0.862069,29.31
FEB,JERSEY,866,32,10.022272,41.982183,23.608018,5.902004,7.572383,4.342984,1.781737,1.224944,0,15.24
FEB,LEEDS BRADFORD,912,42,13.102725,37.106918,26.415094,8.595388,4.926625,3.249476,1.257862,0.838574,0.104822,12.53
